restaurant_name,name_nepali,longitude,latitude,address_street,address_city,address_housenumber,address_postcode,phone,website,email,cuisine_type,star_rating,opening_hours,wheelchair_accessible,internet_access,air_conditioning,outdoor_seating,indoor_seating,smoking_area,diet:vegetarian,diet:vegan,diet:gluten_free,operator,capacity,osm_id,check_date
,,83.9628437,28.2121267,,,,,,,,,,,,,,,,,,,,,,node/5505084143,
Moonlight Fastfood & Resturant,,83.9621249,28.2123997,,,,,,https://moonlightfastfood.com/,,,,,,,,,,,,,,,,node/5505084148,
,,83.9566693,28.2142503,,,,,,,,regional,,,,,,,,,,,,,,node/5507669674,
,,83.9567497,28.2142172,,,,,,,,regional,,,,,,,,,,,,,,node/5507669675,
local Mo Mo,,83.9568624,28.2141865,,,,,,,,regional,,,,,,,,,,,,,,node/5507669676,
,,83.957018,28.2141463,,,,,,,,regional,,,,,,,,,,,,,,node/5507669677,
,,83.95749,28.2139738,,,,,,,,,,,,,,,,,,,,,,node/5507669681,
Buddhi Home Holiday Cafe,,83.9578655,28.2144867,,,,,,,,,,,,,,,,,,,,,,node/5513635485,
,,83.9580184,28.2148246,,,,,,,,,,,,,,,,,,,,,,node/5513700477,
,,83.9583296,28.2155573,,,,,,,,german;tea;cake;donut;breakfast;coffee_shop,,,,,,,,,yes,,,,,node/5514147240,
Ruzila Cafe,,83.9574077,28.2171681,,,,,,,,,,,limited,,no,yes,yes,outside,,,,,,node/5520022749,2025-08-14
Himalayan cafe,,83.958284,28.219021,,,,,,,,,,,,,no,no,yes,yes,,,,,,node/5520239924,
You and I,,83.958638,28.2186369,,,,,,,,,,,limited,,no,yes,yes,yes,,,,,,node/5520239929,
Neighbourhood Restro & Bar,,83.9571517,28.2097054,,,,,,,,,,,,,,,,,,,,,,node/5537513190,
Moondance Resturant and Bar,मुन डान्स रेस्टुरेन्ट एन्ड बार,83.957598,28.2080943,,,,,,,,,,,,,,,,,,,,,,node/5537615880,2023-10-07
Paleti Sukuti ghar,,83.9627285,28.2129856,,,,,,,,,,,,,,,,,,,,,,node/5543120565,
Ice Cream Khaja Ghar,,83.9626592,28.2127165,,,,,,,,,,,,,,no,yes,,,,,,,node/5543120567,
,,83.9626427,28.2126322,,,,,,,,,,,,,,,,,,,,,,node/5543120568,
,,83.9613052,28.2065075,,,,,,,,asian,,,,,,,,,,,,,,node/5556647323,
,,83.9572552,28.211272,,,,,,,,,,,,,,,,,,,,,,node/5584280623,
,,83.9592327,28.2111086,Samikopatan,,,,,,,burger;breakfast;grill;asian;chinese;chicken;indian;curry,,,,,,,,,,,,,,node/5834405686,
Hotel Point,,83.9590237,28.2083558,,,,,,,,,,,,"cellular,wlan",,,,,,,,,,node/6047608809,
Dunga,,83.9572476,28.2089896,,,,,,,,,,,,,,,,,,,,,,node/6047623635,
Little Windows Bar & Restaurant,,83.9574299,28.2132708,Lakeside Marg,,,,,,,international,,,,,,,,,yes,yes,yes,,,node/6068578717,
,,83.9584159,28.2069097,,,,,,,,indian,,,,,,,,,,,,,,node/6070854302,
,,83.9587798,28.2179478,,,,,,,,,,,,,no,yes,yes,outside,,,,,,node/6098091385,
,,83.9568833,28.2124401,,,,,,,,korean,,,,wlan,,,,,,,,,,node/6210419186,
Darshan BBQ center,,83.9588529,28.2175054,19 street,,,33700,+9779856054406,,,,,Mo-Su 09:00-23:00,,wlan,no,yes,yes,yes,,,,,,node/6780846285,
,,83.9590639,28.2176497,Lakeside Marg,,,33700,+9779856054406,,,,,,,wlan,,,,,,,,,,node/6780846286,
,,83.9592958,28.2082181,,,,,,,,diner;russian;noodles;sandwich;sausage;coffee_shop;curry;chinese;tea;burger;pasta;breakfast;international;indian,,Mo-Su 06:00-23:00,,wlan,,,,,,yes,,,,node/6808356585,
,,83.9624649,28.2045406,,,,,,,,,,,,,,,,,,,,,,node/6823095885,
,,83.9621679,28.2108831,,,,,,,,local,,24/7,,,,,,,,,,,,node/6899736386,
,,83.9619279,28.2109577,,,,,,,,local,,24/7,,,,,,,,,,,,node/6899739185,
,,83.9585079,28.215417,,,,,,,,,,,,,,,,,,,,,,node/6908541288,
,,83.9621753,28.2108308,Baidam Road,,Lakeside-6,,,,,local,,,,,,,,,,,,,,node/6942588587,
,,83.9569237,28.2134754,,,,,,,,,,,,,,,,,,,,,,node/6964205285,
,,83.9604802,28.2152638,,,,,,,,,,,,,,,,,,,,,,node/7005585085,
,,83.9609262,28.2074866,,,,,,,,chinese;tea;fish;local,,,,,,,,,,,,,,node/7025508985,
,,83.9595219,28.2081675,"13th Street,Barahi Marg",,,33700,061466933,,,diner;breakfast,,Mo-Su 09:00-21:00,,wlan,,,,,,,,,,node/7114213186,
Mitho Momo,मिठो मोमो,83.9591203,28.2175476,Lakeside Marg,,,,,,,dumplings,,,limited,,no,yes,yes,yes,,,,,,node/7168315498,
Silver Spoon,,83.9586291,28.2158693,,,,,,,,,,,,,,,,,,,,,,node/7230882985,
,,83.9570065,28.2092039,,,,,,,,,,,,,,,,,,,,,,node/7236276986,
,,83.9628295,28.2110739,,,,,9806601989,,,,,,,,,no,yes,,,,,,,node/7354938985,
Vita,,83.9582939,28.2154337,Lakeside-6,,,,,,,,,,,,,,,,,,,,,node/7677211986,
Hotel Fewa Heritage,,83.9582911,28.2155034,,,,,9825375672,,,,,,,,,,,,,,,,,node/9035536617,
€Korean Chicken Sherbet & Beer,,83.9577945,28.2138661,,,,,,,,,,,,,,,,,,,,,,node/9510143019,
,,83.9571937,28.2086343,,,,,,,,indian,,,,,,,,,yes,,,,,node/9570026617,
,,83.9569318,28.2106975,,,,,,,,,,,,,,,,,,,,,,node/9572294118,
Home Town Restaurant & Bar,,83.9630633,28.2088283,,,,,,,,,,,,,,,,,,,,,,node/9701837281,
,,83.9615833,28.2127397,Baidam Road,,,,,,,,,,,,,yes,yes,,,,,,,node/10027653918,
,,83.9602748,28.2063761,,,,,,,,,,,,,,,,,,,,,,node/10120837518,
Green Leaf,,83.9570657,28.2158837,,,,,,,,,,,limited,,no,yes,yes,outside,,,,,,node/10154643349,
Blue Lake Restaurant & Naan House,,83.9587488,28.2162065,,,,,,,,,,,,,,,,,,,,,,node/10187553171,
,,83.9585649,28.2126983,Lalupate Marg /17th Street,,,,,,,,,24/7,,,,,,,,,,,,node/10698600706,
,,83.9592131,28.2127202,Lalupate Marg /17th Street,,,,,,,,,24/7,,,,,,,,,,,,node/10699361805,
,,83.9585995,28.2127129,Lalupate Marg /17th Street,,,,,,,,,24/7,,wlan,,,,,,,,,,node/10708133805,
,,83.9604146,28.2144952,,,,,,,,italian;mediterranean,,,,,,,,,,,,,,node/10782021523,
,,83.9580643,28.2187715,Baidam Road,,,33700,,,,,,,,wlan,,,,,,,,,,node/10889887005,
,,83.9598156,28.2065498,,,,,,,,,,,,,,,,,,,,,,node/11052261005,
,,83.9592093,28.2142137,,,,,,,,,,Mo-Su 09:00-21:30,,,,,,,,,,,,node/11122153905,
,,83.9572076,28.2133372,,,,,,,,,,,,,,,,,,,,,,node/11698040969,
,,83.9575414,28.2082523,,,,,,,,indian,,,,,,,,,,,,,,node/11753086270,
,,83.9576274,28.2200672,,,,,,,,,,,,,,,,,,,,,,node/11880465969,
Shiwani Restaurant Fewa Fish,,83.9565476,28.2143244,,,,,,,,,,,,,,,,,,,,,,node/12039494711,
Kafle Naan House,,83.9574237,28.209197,,,,,,,,,,,,,,,,,,,,,,node/12412597101,
,,83.9556642,28.2114699,,,,,,,,,,,,,,,,,,,,,,node/12528807104,
,,83.9573743,28.217084,,,,,,,,,,,,,,,,,,,,,,node/12528807302,
Padma,,83.9613566,28.2057559,,,,,,,,vietnamese,,,,,,,,,,,,,,node/13064700136,
Green lake,,83.9575842,28.2178301,,,,,,,,,,,,,,,,,,,,,,node/13070132057,
The grounds,,83.9575632,28.2177035,,,,,,,,,,,,,,,,,,,,,,node/13070159537,
Family feast,,83.957906,28.2169555,,,,,,,,chinese,,,,,,,,,,,,,,node/13070202525,
Vegan way 15 Street,,83.958317,28.2104513,,,,,9816182583,https://veganwaycafe.com/,,asian;breakfast;burger;coffee_shop;curry;pizza;sandwich;regional;juice;salad;dessert,,Mo-Su 06:00-21:00,,wlan,,no,yes,,yes,yes,,,,node/13251086962,2025-10-23
Sarduba Tibetan Restaurant,,83.9585338,28.2071768,Lakeside Marg,,,,,,,,,,,,,,,,,,,,,node/13283244601,
Yak Kharka Chulo,,83.9639703,28.20469,"5th Street,Ammat",,,,,,,,,,,,,,,,,,,,,node/13286723601,
Bibek Local Restaurant,,83.9582191,28.2191886,,,,,,,,,,,,,,,,,,,,,,node/13347716921,
Ramesh Khana Khar,,83.961824,28.2127004,,,,,,,,,,,,,,,,,,,,,,node/13374010501,
Himalayan Dorjey Restaurant,,83.9580027,28.2142808,,,,,,,,,,,,,,,,,,,,,,node/13375620801,
Chautari Thakali Bhanchha Ghar,,83.9574763,28.2084499,,,,,,,,,,,,,,,,,,,,,,node/13383282980,
